date,type,topic
2026-05-25T07:05:41.133625,video,Curiosity Reel (standard)
2026-05-25T07:31:31.807367,video,Curiosity Reel (standard)
2026-05-25T21:24:01.837143,video,Curiosity Reel (standard)
2026-05-25T21:58:16.387895,video,Curiosity Reel (standard)
2026-05-26T00:11:31.599952,video,Curiosity Reel (standard)
2026-05-26T05:19:00.462377,video,Curiosity Reel (standard)
2026-05-26T06:06:00.499890,image,Curiosity Image
2026-05-26T06:46:30.580009,video,Curiosity Reel (standard)
2026-05-26T07:06:43.724206,image,Curiosity Image
2026-05-26T07:20:14.320839,video,Curiosity Reel (standard)
2026-05-26T13:20:10.756568,image,Curiosity Image
2026-05-26T13:30:12.867443,video,Curiosity Reel (standard)
2026-05-26T14:16:24.831797,video,Curiosity Reel (standard)
2026-05-26T16:14:05.456148,video,Curiosity Reel (standard)
2026-05-26T17:15:28.908747,video,Curiosity Reel (standard)
2026-05-26T17:39:57.518710,image,Curiosity Image
